ASX listed companies as at Mon Feb 08 15:04:57 EST 2010

Company name,ASX code,GICS industry group
"GLOBALNET ASIA PACIFIC LIMITED",GNE,"Classification Pending"
"GLOBE INTERNATIONAL LIMITED",GLB,"Consumer Durables & Apparel"
"GLOBE METALS & MINING LIMITED",GBE,"Energy"
"GLOBE SECURITIES LIMITED",GTI,"Materials"
"GLOUCESTER COAL LTD",GCL,"Energy"
"GME RESOURCES LIMITED",GME,"Materials"
"GOCONNECT LIMITED",GCN,"Software & Services"
"GOLD ANOMALY LIMITED",GOA,"Materials"
"GOLD ONE INTERNATIONAL LIMITED",GDO,"Materials"
"GOLDEN CROSS RESOURCES LTD",GCR,"Materials"
"GOLDEN DEEPS LIMITED.",GED,"Materials"
"GOLDEN GATE PETROLEUM LTD",GGP,"Energy"
"GOLDEN RIM RESOURCES LTD",GMR,"Materials"
"GOLDEN STATE RESOURCES LIMITED",GDN,"Materials"
"GOLDEN TIGER MINING NL",GTX,"Materials"
"GOLDEN WEST RESOURCES LIMITED",GWR,"Materials"
"GOLDMINEX RESOURCES LIMITED",GMX,"Materials"
"GOLDSEARCH LIMITED",GSE,"Materials"
"GONDWANA RESOURCES LIMITED",GDA,"Materials"
"GOODMAN FIELDER LIMITED.",GFF,"Food Beverage & Tobacco"
"GOODMAN GROUP",GMG,"Real Estate"
"GOODMAN PLUS TRUST",GMP,"GICS Sector Code Not Applicable"
"GOWING BROS LIMITED",GOW,"Diversified Financials"
"GPT GROUP",GPT,"Real Estate"
"GRAINCORP LIMITED",GNC,"Food Beverage & Tobacco"
"GRAND GULF ENERGY LIMITED",GGE,"Materials"
"GRANDBRIDGE LIMITED",GBA,"Diversified Financials"
"GRANGE RESOURCES LIMITED.",GRR,"Materials"
"GRAYNIC METALS LIMITED",GYN,"Materials"
"GREAT PACIFIC CAPITAL LIMITED",GRP,"Diversified Financials"
"GREAT SOUTHERN LIMITED",GTP,"Materials"
"GREAT WESTERN EXPLORATION LIMITED.",GTE,"Materials"
"GREATER BENDIGO GOLD MINES LIMITED",GBM,"Materials"
"GREEN INVEST LIMITED",GNV,"Commercial & Professional Services"
"GREEN PACIFIC ENERGY LIMITED",GPE,"Utilities"
"GREEN ROCK ENERGY LIMITED",GRK,"Materials"
"GREEN X GLOBAL LIMITED",GXG,"Retailing"
"GREENCAP LIMITED",GCG,"Commercial & Professional Services"
"GREENCROSS LIMITED",GXL,"Health Care Equipment & Services"
"GREENEARTH ENERGY LIMITED",GER,"Utilities"
"GREENLAND MINERALS AND ENERGY LIMITED",GGG,"Materials"
"GREENPOWER ENERGY LIMITED",GPP,"Energy"
"GREENVALE MINING NL",GRV,"Energy"
"GROWTHPOINT PROPERTIES AUSTRALIA",GOZ,"Real Estate"
"GRYPHON MINERALS LIMITED",GRY,"Materials"
"GSF CORPORATION LIMITED",GSF,"Food Beverage & Tobacco"
"GTI RESOURCES LIMITED",GTR,"Materials"
"GUILFORD INVESTMENTS LIMITED",GUI,"Software & Services"
"GUINNESS PEAT GROUP PLC.",GPG,"Diversified Financials"
"GUJARAT NRE MINERALS LIMITED",GNM,"Energy"
"GULF MINES LIMITED",GLM,"Materials"
"GULF RESOURCES LIMITED",GLF,"Materials"
"GULLEWA LIMITED",GUL,"Materials"
"GUNNS LIMITED",GNS,"Materials"
"GUNSON RESOURCES LIMITED",GUN,"Materials"
"GWA INTERNATIONAL LIMITED",GWT,"Capital Goods"
"HALCYGEN PHARMACEUTICALS LIMITED",HGN,"Pharmaceuticals, Biotechnology & Life Sciences"
"HALCYON SECURITIES LIMITED",HLC,"GICS Sector Code Not Applicable"
"HAMILTON JAMES & BRUCE GROUP LIMITED",HJB,"Commercial & Professional Services"
"HAMPTON HILL MINING NL",HHM,"Materials"
"HANDINI RESOURCES LIMITED",HDI,"Energy"
"HANNANS REWARD LIMITED",HNR,"Materials"
"HANSEN TECHNOLOGIES LIMITED",HSN,"Software & Services"
"HAOMA MINING NL",HAO,"Materials"
"HARVEY NORMAN HOLDINGS LIMITED",HVN,"Retailing"
"HARVEY TRUST 2006-1",HTR,"GICS Sector Code Not Applicable"
"HASTIE GROUP LIMITED",HST,"Capital Goods"
"HASTINGS DIVERSIFIED UTILITIES FUND",HDF,"Utilities"
"HASTINGS HIGH YIELD FUND",HHY,"Diversified Financials"
"HAVILAH RESOURCES NL",HAV,"Materials"
"HAWTHORN RESOURCES LIMITED",HAW,"Materials"
"HAZELWOOD RESOURCES LTD",HAZ,"Materials"
"HEADLINE GROUP LIMITED",HLD,"Consumer Durables & Apparel"
"HEALTH CORPORATION LIMITED",HEA,"Food & Staples Retailing"
"HEALTHLINX LIMITED",HTX,"Pharmaceuticals, Biotechnology & Life Sciences"
"HEALTHSCOPE LIMITED",HSP,"Health Care Equipment & Services"
"HEALTHZONE LIMITED",HZL,"Household & Personal Products"
"HEARTWARE INTERNATIONAL, INC",HIN,"Health Care Equipment & Services"
"HEEMSKIRK CONSOLIDATED LIMITED",HSK,"Materials"
"HELICON GROUP LIMITED",HCG,"Pharmaceuticals, Biotechnology & Life Sciences"
"HELIX RESOURCES LIMITED",HLX,"Materials"
"HEMISPHERE RESOURCES LIMITED",HEM,"Materials"
"HENDERSON GROUP PLC.",HGG,"Diversified Financials"
"HENRY WALKER ELTIN GROUP LIMITED",HWE,"Capital Goods"
"HERITAGE BUILDING SOCIETY LIMITED",HBS,"GICS Sector Code Not Applicable"
"HERITAGE GOLD NZ LIMITED",HTM,"Materials"
"HERON RESOURCES LIMITED",HRR,"Materials"
"HEXIMA LIMITED",HXL,"Pharmaceuticals, Biotechnology & Life Sciences"
"HFA ACCELERATOR PLUS LIMITED",HAP,"Diversified Financials"
"HFA HOLDINGS LIMITED",HFA,"Diversified Financials"
"HGL LIMITED",HNG,"Capital Goods"
"HIGHLANDS PACIFIC LIMITED",HIG,"Materials"
"HILL END GOLD LIMITED",HEG,"Materials"
"HILLCREST LITIGATION SERVICES LIMITED.",HLS,"Diversified Financials"
"HILLGROVE RESOURCES LIMITED",HGO,"Materials"
"HILLS INDUSTRIES LIMITED",HIL,"Capital Goods"
"HIRE INTELLIGENCE INTERNATIONAL LIMITED",HII,"Retailing"
"HITECH GROUP AUSTRALIA LIMITED",HIT,"Commercial & Professional Services"
"HLI LIMITED",HLI,"Software & Services"
"HODGES RESOURCES LIMITED",HDG,"Materials"
"HOLISTA COLLTECH LIMITED",HCT,"Pharmaceuticals, Biotechnology & Life Sciences"
"HOMELOANS LIMITED",HOM,"Banks"
"HORIZON OIL LIMITED",HZN,"Energy"
"HOSTECH LIMITED",HTC,"Technology Hardware & Equipment"
"HOT ROCK LIMITED",HRL,"Utilities"
"HUDSON INVESTMENT GROUP LIMITED",HGL,"Real Estate"
"HUDSON RESOURCES LIMITED",HRS,"Materials"
"HUMANIS GROUP LIMITED",HUM,"Commercial & Professional Services"
"HUNNU COAL LIMITED",HUN,"Classification Pending"
"HUNTER HALL GLOBAL VALUE LIMITED",HHV,"Diversified Financials"
"HUNTER HALL INTERNATIONAL LIMITED",HHL,"Diversified Financials"
"HUTCHISON TELECOMMUNICATIONS (AUSTRALIA) LIMITED",HTA,"Telecommunication Services"
"HY-FI SECURITIES LIMITED",HYF,"GICS Sector Code Not Applicable"
"HYDROMET CORPORATION LIMITED",HMC,"Commercial & Professional Services"
"HYDROTECH INTERNATIONAL LIMITED",HTI,"Capital Goods"
"HYPERION FLAGSHIP INVESTMENTS LIMITED",HIP,"Diversified Financials"
"HYPO REAL ESTATE BANK INTERNATIONAL AKTIENGESELLSCHAFT",HYP,"GICS Sector Code Not Applicable"
"HYPOTHEKENBANK IN ESSEN AKTIENGESELLSCHAFT",HES,"GICS Sector Code Not Applicable"
"HYRO LIMITED",HYO,"Media"
"IAG FINANCE (NEW ZEALAND) LIMITED",IAN,"GICS Sector Code Not Applicable"
"IATIA LIMITED",IAT,"Software & Services"
"ICASH PAYMENT SYSTEMS LIMITED",ICP,"Technology Hardware & Equipment"
"ICON ENERGY LIMITED",ICN,"Energy"
"ICON RESOURCES LTD",III,"Materials"
"ICSGLOBAL LIMITED",ICS,"Health Care Equipment & Services"
"IDEAS INTERNATIONAL LIMITED",IDE,"Software & Services"
"IDT AUSTRALIA LIMITED",IDT,"Pharmaceuticals, Biotechnology & Life Sciences"
"IFC CAPITAL LIMITED",IFC,"Diversified Financials"
"IFL ETO",IF9,"GICS Sector Code Not Applicable"
"IFS CONSTRUCTION SERVICES LTD",IFS,"Capital Goods"
"IGDX HOLDINGS LTD",IGX,"Materials"
"IINET LIMITED",IIN,"Telecommunication Services"
"ILLAWARRA SERIES 2005-1 RMBS TRUST",ILW,"GICS Sector Code Not Applicable"
"ILLAWARRA SERIES 2006-1 RMBS TRUST",ILA,"GICS Sector Code Not Applicable"
"ILUKA RESOURCES LIMITED",ILU,"Materials"
"IM MEDICAL LTD",IMI,"Health Care Equipment & Services"
"IMAGE RESOURCES NL",IMA,"Materials"
"IMAGINE UN LIMITED",IUL,"Software & Services"
"IMDEX LIMITED",IMD,"Materials"
"IMF (AUSTRALIA) LTD",IMF,"Diversified Financials"
"IMMURON LIMITED",IMC,"Pharmaceuticals, Biotechnology & Life Sciences"
"IMPACT MINERALS LIMITED",IPT,"Materials"
"IMPEDIMED LIMITED",IPD,"Health Care Equipment & Services"
"IMPERIAL CORPORATION LIMITED",IMP,"Materials"
"IMPRESS ENERGY LIMITED",ITC,"Energy"
"IMUGENE LIMITED",IMU,"Pharmaceuticals, Biotechnology & Life Sciences"
"IMX RESOURCES LIMITED",IXR,"Materials"
"INCITEC PIVOT LIMITED",IPL,"Materials"
"INCITIVE LIMITED",ICV,"Pharmaceuticals, Biotechnology & Life Sciences"
"INDAGO RESOURCES LTD",IDG,"Materials"
"INDEPENDENCE GROUP NL",IGO,"Materials"
"INDIA EQUITIES FUND LIMITED",INE,"Diversified Financials"
"INDIA RESOURCES LIMITED",IRL,"Materials"
"INDIGO PROPERTIES AUSTRALIA LIMITED",IPA,"Diversified Financials"
"INDO MINES LIMITED",IDO,"Materials"
"INDOPHIL RESOURCES NL",IRN,"Materials"
"INDUSTREA LIMITED",IDL,"Capital Goods"
"INDUSTRIAL MINERALS CORPORATION LIMITED",IDM,"Materials"
"INFIGEN ENERGY",IFN,"Utilities"
"INFOCHOICE LIMITED",ICH,"Media"
"INFOMEDIA LTD",IFM,"Software & Services"
"ING BANK (AUSTRALIA) LIMITED",INU,"GICS Sector Code Not Applicable"
"ING INDUSTRIAL FUND",IIF,"Real Estate"
"ING OFFICE FUND",IOF,"Real Estate"
"ING PRIVATE EQUITY ACCESS LIMITED",IPE,"Diversified Financials"
"ING REAL ESTATE COMMUNITY LIVING GROUP",ILF,"Real Estate"
"ING REAL ESTATE ENTERTAINMENT FUND",IEF,"Real Estate"
"ING REAL ESTATE HEALTHCARE FUND",IHF,"Real Estate"
"INNAMINCKA PETROLEUM LIMITED",INP,"Energy"
"INSTITUTO DE CREDITO OFICIAL",ICF,"GICS Sector Code Not Applicable"
"INSURANCE AUSTRALIA GROUP LIMITED",IAG,"Insurance"
"INTEC LTD",INL,"Materials"
"INTEGRA MINING LIMITED",IGR,"Materials"
"INTEGRATED LEGAL HOLDINGS LIMITED",IAW,"Consumer Services"
"INTEGRATED RESEARCH LIMITED",IRI,"Software & Services"
"INTEGRATED RESOURCES GROUP LIMITED",IRG,"Diversified Financials"
"INTER-AMERICAN DEVELOPMENT BANK",IDB,"GICS Sector Code Not Applicable"
"INTERMET RESOURCES LIMITED",ITT,"Materials"
"INTERMIN RESOURCES LIMITED",IRC,"Materials"
"INTERMOCO LIMITED",INT,"Technology Hardware & Equipment"
"INTERNATIONAL EQUITIES CORPORATION LIMITED.",IEQ,"Real Estate"
"INTERNATIONAL FINANCE CORPORATION",IFX,"GICS Sector Code Not Applicable"
"INTERNATIONAL PETROLEUM LIMITED",IPO,"Materials"
"INTERRA RESOURCES LIMITED",ITR,"Energy"
"INTERSTAFF INTERNATIONAL LIMITED",ITS,"Commercial & Professional Services"
"INTERSTAR MILLENIUM SERIES 2006-2G TRUST",INB,"GICS Sector Code Not Applicable"
"INTERSTAR MILLENNIUM SERIES 2002-1G TRUST",IMG,"GICS Sector Code Not Applicable"
"INTERSTAR MILLENNIUM SERIES 2003-3G TRUST",IMX,"GICS Sector Code Not Applicable"
"INTERSTAR MILLENNIUM SERIES 2004-1E TRUST",IMQ,"GICS Sector Code Not Applicable"
"INTERSTAR MILLENNIUM SERIES 2004-2G TRUST",IMK,"GICS Sector Code Not Applicable"
"INTERSTAR MILLENNIUM SERIES 2004-5 TRUST",IMN,"GICS Sector Code Not Applicable"
"INTERSTAR MILLENNIUM SERIES 2005-2L TRUST",IMO,"GICS Sector Code Not Applicable"
"INTERSTAR MILLENNIUM SERIES 2006-3L TRUST",INN,"GICS Sector Code Not Applicable"
"INTERSTAR MILLENNIUM SERIES 2006-4H TRUST",INH,"GICS Sector Code Not Applicable"
"INTOLL GROUP",ITO,"Transportation"
"INTRAPOWER LIMITED",IPX,"Software & Services"
"INTREPID MINES LIMITED",IAU,"Materials"
"INVENTIS LIMITED",IVT,"Commercial & Professional Services"
"INVESTORFIRST LIMITED",INQ,"Diversified Financials"
"INVOCARE LIMITED",IVC,"Consumer Services"
"ION LIMITED",ION,"Automobile & Components"
"IOOF HOLDINGS LIMITED",IFL,"Diversified Financials"
"IPERNICA LIMITED",IPR,"Diversified Financials"
"IPGA LIMITED",IPP,"Media"
"IPLDA OPTIONS",IP8,"Classification Pending"
"IPLN OPTIONS",IP9,"Classification Pending"
"IRESS MARKET TECHNOLOGY LIMITED",IRE,"Software & Services"
"IRON MOUNTAIN MINING LIMITED",IRM,"Materials"
"IRON ORE HOLDINGS LIMITED",IOH,"Materials"
"IRON ROAD LIMITED",IRD,"Materials"
"IRONBARK CAPITAL LIMITED",IBC,"Diversified Financials"
"IRONBARK ZINC LTD",IBG,"Materials"
"IRONCLAD MINING LIMITED",IFE,"Materials"
"ISHARES FTSE/XINHUA CHINA 25",IZZ,"GICS Sector Code Not Applicable"
"ISHARES MSCI BRIC",IBK,"GICS Sector Code Not Applicable"
"ISHARES MSCI EAFE",IVE,"GICS Sector Code Not Applicable"
"ISHARES MSCI EMERGING MARKETS",IEM,"GICS Sector Code Not Applicable"
"ISHARES MSCI HONG KONG",IHK,"GICS Sector Code Not Applicable"
"ISHARES MSCI JAPAN",IJP,"GICS Sector Code Not Applicable"
"ISHARES MSCI SINGAPORE",ISG,"GICS Sector Code Not Applicable"
"ISHARES MSCI SOUTH KOREA",IKO,"GICS Sector Code Not Applicable"
"ISHARES MSCI TAIWAN",ITW,"GICS Sector Code Not Applicable"
"ISHARES RUSSELL 2000",IRU,"GICS Sector Code Not Applicable"
"ISHARES S&P 500",IVV,"GICS Sector Code Not Applicable"
"ISHARES S&P ASIA 50",IAA,"GICS Sector Code Not Applicable"
"ISHARES S&P EUROPE 350",IEU,"GICS Sector Code Not Applicable"
"ISHARES S&P GLOBAL 100",IOO,"GICS Sector Code Not Applicable"
"ISHARES S&P GLOBAL CONSUMER STAPLES",IXI,"GICS Sector Code Not Applicable"
"ISHARES S&P GLOBAL HEALTHCARE",IXJ,"GICS Sector Code Not Applicable"
"ISHARES S&P GLOBAL TELECOMMUNICATIONS",IXP,"GICS Sector Code Not Applicable"
"ISHARES S&P MIDCAP 400",IJH,"GICS Sector Code Not Applicable"
"ISHARES S&P SMALLCAP 600",IJR,"GICS Sector Code Not Applicable"
"ISHARES TRUST",IST,"GICS Sector Code Not Applicable"
"ISHARES, INC.",ISI,"GICS Sector Code Not Applicable"
"ISHINE INTERNATIONAL RESOURCES LIMITED",ISH,"Materials"
"ISLAND SKY AUSTRALIA LIMITED",ISK,"Consumer Durables & Apparel"
"ISOFT GROUP LIMITED",ISF,"Health Care Equipment & Services"
"ISS GROUP LIMITED",ISS,"Software & Services"
"ITL LIMITED",ITD,"Health Care Equipment & Services"
"ITX GROUP LIMITED",ITX,"Software & Services"
"IVANHOE AUSTRALIA LIMITED",IVA,"Materials"
"JABIRU METALS LIMITED",JML,"Materials"
"JACKGREEN LIMITED",JGL,"Utilities"
"JAGUAR MINERALS LIMITED",JAG,"Materials"
"JAMES HARDIE INDUSTRIES N.V.",JHX,"Materials"
"JAMESON RESOURCES LIMITED",JAL,"Materials"
"JATOIL LIMITED",JAT,"Energy"
"JB HI-FI LIMITED",JBH,"Retailing"
"JERVOIS MINING LIMITED",JRV,"Materials"
"JETSET TRAVELWORLD LTD",JET,"Consumer Services"
"JINDALEE RESOURCES LIMITED",JRL,"Materials"
"JOHN SHEARER (HOLDINGS) LIMITED",SHR,"Capital Goods"
"JOYCE CORPORATION LIMITED",JYC,"Retailing"
"JUMBUCK ENTERTAINMENT LIMITED",JMB,"Software & Services"
"JUPITER ENERGY LIMITED",JPR,"Materials"
"JUPITER MINES LIMITED",JMS,"Materials"
"JV GLOBAL LIMITED",JVG,"Capital Goods"
"K & S CORPORATION LIMITED",KSC,"Transportation"
"K2 ASSET MANAGEMENT HOLDINGS LTD",KAM,"Diversified Financials"
"K2 ENERGY LIMITED.",KTE,"Energy"
"KAGARA LTD",KZL,"Materials"
"KAIRIKI ENERGY LIMITED",KIK,"Energy"
"KANGAROO RESOURCES LIMITED",KRL,"Materials"
"KARMELSONIX LTD",KSX,"Health Care Equipment & Services"
"KAROON GAS AUSTRALIA LIMITED",KAR,"Energy"
"KASBAH RESOURCES LIMITED",KAS,"Materials"
"KATANA CAPITAL LIMITED",KAT,"Diversified Financials"
"KATHMANDU HOLDINGS LIMITED",KMD,"Consumer Durables & Apparel"
"KENTOR GOLD LIMITED",KGL,"Materials"
"KEY PETROLEUM LIMITED",KEY,"Energy"
"KEYBRIDGE CAPITAL LIMITED",KBC,"Diversified Financials"
"KEYCORP LIMITED",KYC,"Technology Hardware & Equipment"
"KFM DIVERSIFIED INFRASTRUCTURE AND LOGISTICS FUND",KIL,"Transportation"
"KFW",KFW,"GICS Sector Code Not Applicable"
"KILGORE OIL & GAS LIMITED",KOG,"Energy"
"KIMBERLEY METALS LIMITED",KBL,"Classification Pending"
"KING ISLAND SCHEELITE LIMITED",KIS,"Materials"
"KING SOLOMON MINES LIMITED",KSO,"Materials"
"KINGS MINERALS NL",KMN,"Materials"
"KINGSGATE CONSOLIDATED LIMITED.",KCN,"Materials"
"KINGSROSE MINING LIMITED",KRM,"Materials"
"KIP MCGRATH EDUCATION CENTRES LIMITED",KME,"Consumer Services"
"KONEKT LIMITED",KKT,"Health Care Equipment & Services"
"KOON HOLDINGS LIMITED",KNH,"Capital Goods"
"KORAB RESOURCES LIMITED",KOR,"Materials"
"KORVEST LIMITED",KOV,"Capital Goods"
"KRESTA HOLDINGS LIMITED",KRS,"Consumer Durables & Apparel"
"KRUCIBLE METALS LIMITED",KRB,"Materials"
"KTL TECHNOLOGIES LIMITED",KTL,"Capital Goods"
"KUTH ENERGY LIMITED",KEN,"Utilities"
"L&M ENERGY LIMITED",LME,"Energy"
"LACHLAN STAR LIMITED",LSA,"Materials"
"LACONIA RESOURCES LIMITED",LCR,"Materials"
"LAGUNA RESOURCES NL",LRC,"Materials"
"LAKE RESOURCES N.L.",LKE,"Materials"
"LAKES OIL NL",LKO,"Energy"
"LANDMARK WHITE LIMITED",LMW,"Real Estate"
"LASERBOND LIMITED",LBL,"Capital Goods"
"LASSETERS CORPORATION LIMITED",LAS,"Consumer Services"
"LATIN GOLD LIMITED",LAT,"Materials"
"LATROBE MAGNESIUM LIMITED",LMG,"Materials"
"LBT INNOVATIONS LIMITED",LBT,"Health Care Equipment & Services"
"LEFROY RESOURCES LIMITED",LEF,"Materials"
"LEGACY IRON ORE LIMITED",LCY,"Materials"
"LEGEND CORPORATION LIMITED",LGD,"Technology Hardware & Equipment"
"LEGEND MINING LIMITED",LEG,"Materials"
"LEIGHTON HOLDINGS LIMITED",LEI,"Capital Goods"
"LEMARNE CORPORATION LIMITED",LMC,"Capital Goods"
"LEND LEASE GROUP",LLC,"Real Estate"
"LEYSHON RESOURCES LIMITED",LRL,"Materials"
"LIBERTY RESOURCES LIMITED",LBY,"Materials"
"LIBERTY SERIES 2006-1 TRUST",LIF,"GICS Sector Code Not Applicable"
"LIBERTY SERIES 2006-2 TRUST",LIA,"GICS Sector Code Not Applicable"
"LIBERTY SERIES 2007-1 SME/CMBS TRUST",LIE,"GICS Sector Code Not Applicable"
"LIFESTYLE COMMUNITIES LIMITED",LIC,"Real Estate"
"LIHIR GOLD LIMITED.",LGL,"Materials"
"LINC ENERGY LTD",LNC,"Energy"
"LINCOLN MINERALS LIMITED",LML,"Materials"
"LINDIAN RESOURCES LIMITED",LIN,"Materials"
"LINDSAY AUSTRALIA LIMITED",LAU,"Transportation"
"LINQ RESOURCES FUND",LRF,"Materials"
"LION ENERGY LIMITED",LIO,"Energy"
"LION SERIES 2007-1 TRUST",LNS,"GICS Sector Code Not Applicable"
"LIONTOWN RESOURCES LIMITED",LTR,"Materials"
"LIQUEFIED NATURAL GAS LIMITED",LNG,"Energy"
"LITTLE WORLD BEVERAGES LIMITED",LWB,"Food Beverage & Tobacco"
"LIVING AND LEISURE AUSTRALIA GROUP",LLA,"Real Estate"
"LIVING CELL TECHNOLOGIES LIMITED",LCT,"Pharmaceuticals, Biotechnology & Life Sciences"
"LLCDA OPTIONS",LL9,"Classification Pending"
"LODESTAR MINERALS LIMITED",LSR,"Materials"
"LODESTONE ENERGY LIMITED",LOD,"Materials"
"LOGICAMMS LIMITED",LCM,"Capital Goods"
"LONDON CITY EQUITIES LIMITED",LCE,"Diversified Financials"
"LONGREACH GROUP LIMITED.",LRG,"Software & Services"
"LONGREACH OIL LIMITED",LGO,"Energy"
"LONRHO MINING LIMITED",LOM,"Materials"
"LUDOWICI LIMITED",LDW,"Capital Goods"
"LUIRI GOLD LIMITED",LGM,"Materials"
"LUMACOM LIMITED",LUM,"Technology Hardware & Equipment"
"LUMINUS SYSTEMS LIMITED.",LSL,"Diversified Financials"
"LV LIVING LIMITED",LVL,"Real Estate"
"LYCOPODIUM LIMITED",LYL,"Capital Goods"
"LYNAS CORPORATION LIMITED",LYC,"Materials"
"M2 TELECOMMUNICATIONS GROUP LIMITED",MTU,"Telecommunication Services"
"M2M CORPORATION LIMITED",MCL,"Software & Services"
"MACARTHUR COAL LIMITED",MCC,"Materials"
"MACARTHURCOOK INDUSTRIAL PROPERTY FUND",MIF,"Real Estate"
"MACARTHURCOOK PROPERTY SECURITIES FUND",MPS,"Real Estate"
"MACMAHON HOLDINGS LIMITED",MAH,"Capital Goods"
"MACQUARIE ATLAS ROADS GROUP",MQA,"Transportation"
"MACQUARIE BANK LIMITED",MBL,"Diversified Financials"
"MACQUARIE COUNTRYWIDE TRUST",MCW,"Real Estate"
"MACQUARIE CPS TRUST",MQC,"GICS Sector Code Not Applicable"
"MACQUARIE DDR TRUST",MDT,"Real Estate"
"MACQUARIE FORTRESS AUSTRALIA NOTES TRUST",MFN,"GICS Sector Code Not Applicable"
"MACQUARIE GROUP LIMITED",MQG,"Diversified Financials"
"MACQUARIE HARBOUR MINING LIMITED",MHM,"Materials"
"MACQUARIE INFRASTRUCTURE GROUP - OPTION BASKET",MI8,"GICS Sector Code Not Applicable"
"MACQUARIE OFFICE TRUST",MOF,"Real Estate"
"MACQUARIE RADIO NETWORK LIMITED",MRN,"Media"
"MACQUARIE TELECOM GROUP LIMITED",MAQ,"Telecommunication Services"
"MACQUARIE WINTON GLOBAL OPPORTUNITIES TRUST",MWG,"Diversified Financials"
"MACRO CORPORATION LIMITED",MAC,"Consumer Services"
"MAGELLAN FINANCIAL GROUP LIMITED",MFG,"Diversified Financials"
"MAGELLAN FLAGSHIP FUND LIMITED",MFF,"Diversified Financials"
"MAGELLAN PETROLEUM CORPORATION.",MGN,"Energy"
"MAGMA METALS LIMITED.",MMW,"Materials"
"MAGNA MINING NL",MAN,"Materials"
"MAGNETIC RESOURCES NL",MAU,"Materials"
"MAGNUM MINING AND EXPLORATION LIMITED",MGU,"Materials"
"MAHOGANY CAPITAL LIMITED",MHY,"GICS Sector Code Not Applicable"
"MAHOGANY CAPITAL LIMITED - NOTES SERIES II",MHZ,"GICS Sector Code Not Applicable"
"MALACHITE RESOURCES LIMITED",MAR,"Materials"
"MALAGASY MINERALS LIMITED",MGY,"Materials"
"MAMBA MINERALS LIMITED",MAB,"Materials"
"MANACCOM CORPORATION LIMITED",MNL,"Retailing"
"MANAS RESOURCES LIMITED",MSR,"Materials"
"MANHATTAN CORPORATION LIMITED",MHC,"Energy"
"MANTLE MINING CORPORATION LIMITED",MNM,"Materials"
"MANTRA RESOURCES LIMITED",MRU,"Energy"
"MAP GROUP",MAP,"Transportation"
"MARATHON RESOURCES LIMITED",MTN,"Materials"
"MARBLETREND GROUP LIMITED",MBD,"Capital Goods"
"MARENGO MINING LIMITED",MGO,"Materials"
"MARENICA ENERGY LTD",MEY,"Materials"
"MARINE PRODUCE AUSTRALIA LIMITED",MPA,"Food Beverage & Tobacco"
"MARINER CORPORATION LIMITED",MCX,"Diversified Financials"
"MARION ENERGY LIMITED",MAE,"Energy"
"MARMOTA ENERGY LIMITED",MEU,"Energy"
"MARYBOROUGH SUGAR FACTORY LIMITED (THE)",MSF,"Food Beverage & Tobacco"
"MATILDA MINERALS LIMITED",MAL,"Materials"
"MATILDA ZIRCON LIMITED",MZI,"Materials"
"MATRIX COMPOSITES & ENGINEERING LIMITED",MCE,"Energy"
"MATRIX GOLD LIMITED",MXD,"Classification Pending"
"MATRIX METALS LIMITED",MRX,"Materials"
"MATSA RESOURCES LIMITED",MAT,"Materials"
"MAX TRUST",MXQ,"Diversified Financials"
"MAXIMUS RESOURCES LIMITED",MXR,"Materials"
"MAXITRANS INDUSTRIES LIMITED",MXI,"Capital Goods"
"MCM ENTERTAINMENT GROUP LIMITED",MEG,"Media"
"MCMILLAN SHAKESPEARE LIMITED",MMS,"Commercial & Professional Services"
"MCPHERSON'S LIMITED",MCP,"Consumer Durables & Apparel"
"MDS FINANCIAL GROUP LIMITED",MWS,"Software & Services"
"MEC RESOURCES LIMITED",MMR,"Energy"
"MEDIA GROUP INTERNATIONAL LIMITED",MUI,"Media"
"MEDIC VISION LIMITED",MVH,"Health Care Equipment & Services"
"MEDICAL AUSTRALIA LIMITED",MLA,"Health Care Equipment & Services"
"MEDICAL CORPORATION AUSTRALASIA LIMITED",MOD,"Health Care Equipment & Services"
"MEDICAL DEVELOPMENTS INTERNATIONAL LIMITED",MVP,"Pharmaceuticals, Biotechnology & Life Sciences"
"MEDIGARD LIMITED",MGZ,"Health Care Equipment & Services"
"MEDIVAC LIMITED",MDV,"Health Care Equipment & Services"
"MEDTECH GLOBAL LIMITED",MDG,"Health Care Equipment & Services"
"MEDUSA MINING LIMITED",MML,"Materials"
"MELBOURNE IT LIMITED",MLB,"Software & Services"
"MEO AUSTRALIA LIMITED",MEO,"Energy"
"MERCHANT HOUSE INTERNATIONAL LIMITED",MHI,"Consumer Durables & Apparel"
"MERCURY BRANDS LIMITED",MCB,"Retailing"
"MERIDIAN MINERALS LIMITED",MII,"Materials"
"MERMAID MARINE AUSTRALIA LIMITED",MRM,"Transportation"
"MERRILL LYNCH FACTOR MODEL",MLF,"GICS Sector Code Not Applicable"
"MERRILL LYNCH THEMATICS",MLQ,"GICS Sector Code Not Applicable"
"MESA MINERALS LIMITED",MAS,"Materials"
"MESBON CHINA NYLON LIMITED",MES,"Consumer Durables & Apparel"
"MESOBLAST LIMITED",MSB,"Pharmaceuticals, Biotechnology & Life Sciences"
"METAL STORM LIMITED",MST,"Capital Goods"
"METALLICA MINERALS LIMITED",MLM,"Materials"
"METALS AUSTRALIA LTD",MLS,"Materials"
"METALS FINANCE LIMITED",MFC,"Materials"
